2.474053 0.928631 7.559743  0.310262 0.413621
40.568066 -1.067262 96.492485  7.353300 8.799662
23.857035 -0.594702 81.186485  6.727294 7.038067 7.141701 7.353300 9.525112 10.250360 9.939685 8.799662
16.543346 0.972570 60.392452  9.525112 10.250360 9.939685 8.799662
7.926301 1.398590 59.304722  7.038067 8.074250 8.799662
6.753129 1.180243 62.336296  6.727294 6.105870 6.524037 9.525112 8.799662
8.087794 1.174372 61.438950  8.074250 9.525112 8.799662
7.188704 1.372535 61.311047  8.074250 8.799662
24.145735 0.173074 62.284191  9.525112 10.250360 10.664530 9.939685 8.799662
46.347050 -1.621373 72.669418  9.525112 10.250360 10.664530 11.077200 9.939685 8.799662
44.513355 -3.794964 70.918625  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 9.939685 8.799662
14.738914 0.681042 63.997669  4.760815 5.174268 6.105870 9.525112 9.939685 8.799662
6.706959 0.738824 82.112846  6.727294 6.105870 8.074250 7.353300 6.524037 8.799662
21.536894 -4.825673 72.865219  8.074250 7.353300 9.525112 8.799662
4.813354 1.137161 64.175308  6.727294 6.105870 6.524037 8.799662
45.441467 -2.576839 92.944107  8.074250 10.250360 9.939685 8.799662
50.091560 -4.301263 102.480881  8.074250 7.353300 9.525112 10.250360 9.939685 8.799662
22.692152 -4.057918 73.381172  6.727294 7.038067 7.353300 8.799662
19.096489 -3.062208 60.620689  9.525112 8.799662
17.301888 0.743970 61.370159  9.525112 10.250360 10.664530 8.799662
17.735010 -2.243845 62.665440  9.525112 10.250360 9.939685 8.799662
17.069391 -2.522779 62.809143  10.664530 8.799662
45.089123 -1.744971 102.175652  8.074250 7.353300 8.799662
26.590998 -2.770699 85.548775  8.074250 9.525112 8.799662
11.060826 1.173346 62.874485  6.727294 7.038067 8.074250 6.524037 8.799662
10.211465 1.161737 62.973560  8.074250 9.525112 9.939685 8.799662
55.412388 -2.737093 99.105415  8.074250 10.250360 9.939685 8.799662
14.992750 -1.855331 63.736389  10.250360 10.664530 9.939685 8.799662
0.259805 -2.054384 75.582222  4.760815 8.799662
18.677128 -3.503056 62.124817  9.525112 10.250360 9.939685 8.799662
18.078798 -3.720333 61.761665  9.939685 8.799662
15.796282 -1.895409 63.924202  8.074250 9.525112 10.250360 9.939685 8.799662
15.043875 0.846128 62.801483  9.525112 10.250360 10.664530 9.939685 8.799662
17.556900 -3.672085 63.717419  9.525112 9.939685 8.799662
16.987547 -3.543222 64.445778  8.074250 9.525112 10.250360 9.939685 8.799662
16.488308 -4.541783 64.300827  9.525112 8.799662
0.212542 -0.510637 76.007202  5.174268 6.727294 7.141701 8.074250 7.353300 6.524037 8.799662
26.043741 -10.570440 99.629837  6.727294 7.038067 7.141701 7.353300 6.524037 8.799662
27.136183 -12.320338 105.115952  6.727294 7.141701 8.074250 8.799662
19.423553 -2.857511 78.724266  6.727294 7.038067 7.141701 8.074250 7.353300 9.525112 9.939685 8.799662
30.422209 -10.399421 100.742638  6.727294 7.038067 7.141701 8.074250 7.353300 9.525112 8.799662
17.954174 -5.907634 93.333611  7.038067 8.074250 8.799662
20.046354 -3.068944 92.130417  7.141701 7.353300 9.525112 9.939685 8.799662
9.980512 -0.956699 90.083954  5.174268 6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 9.525112 8.799662
8.132942 -2.823402 96.741692  6.727294 7.038067 7.141701 8.074250 7.353300 6.524037 8.799662
23.334185 -3.047435 97.314857  7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 9.525112 9.939685 8.799662
23.068863 -4.539874 95.585037  7.141701 9.939685 8.799662
8.543628 1.283180 59.134392  8.074250 8.799662
9.907092 1.365508 59.722672  6.727294 7.038067 7.141701 8.799662
5.086226 1.224010 63.895325  6.727294 6.524037 8.799662
-1.140872 1.526115 68.746140  8.074250 6.524037 8.799662
3.462739 1.463128 61.188522  6.727294 6.105870 8.074250 6.524037 8.799662
5.688775 1.418771 61.149448  8.074250 8.799662
26.453957 -0.658556 88.126282  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 9.525112 9.939685 8.799662
6.316097 1.339103 61.148869  8.074250 8.799662
0.294791 1.565358 61.715878  8.074250 8.799662
10.422025 1.087877 62.342907  8.074250 9.525112 9.939685 8.799662
10.195238 1.164277 62.937794  8.074250 9.525112 9.939685 8.799662
18.861895 -2.499168 59.932301  2.999556 3.310078 9.939685 8.799662
15.045180 0.899856 64.427292  7.038067 6.105870 7.141701 8.074250 6.524037 9.525112 10.250360 9.939685 8.799662
23.011229 -0.150526 70.927589  9.525112 10.250360 10.664530 9.939685 8.799662
18.271450 0.237982 91.272560  6.727294 7.038067 8.074250 9.525112 8.799662
8.270417 1.214680 61.663998  6.727294 6.105870 8.074250 6.524037 8.799662
22.869583 0.193114 62.139465  9.525112 10.250360 11.077200 8.799662
46.263386 -1.683842 72.563934  9.525112 10.250360 10.664530 9.939685 8.799662
34.898178 -1.366028 90.562294  9.525112 8.799662
16.031307 0.690524 62.160168  9.525112 10.250360 10.664530 8.799662
17.803871 -2.722742 61.087177  9.525112 10.250360 10.664530 9.939685 8.799662
18.036388 -2.252406 62.792751  9.525112 10.250360 10.664530 9.939685 8.799662
16.904675 -2.504008 62.685692  10.250360 10.664530 9.939685 8.799662
17.394789 -2.826302 64.154015  8.074250 9.525112 10.250360 10.664530 9.939685 8.799662
16.715139 -3.570492 63.895630  9.525112 8.799662
21.737894 -6.525634 76.678604  6.727294 7.141701 8.074250 7.353300 9.525112 8.799662
14.829422 0.828720 62.757694  9.525112 10.250360 10.664530 9.939685 8.799662
46.145233 -1.910109 81.668564  9.525112 9.939685 8.799662
57.733124 -3.792727 91.240707  8.074250 9.525112 10.250360 10.664530 9.939685 8.799662
17.444412 -2.574139 64.205582  8.074250 9.525112 10.664530 8.799662
15.089014 -1.860370 63.807335  10.250360 9.939685 8.799662
17.146048 -3.113068 63.284580  9.525112 10.250360 9.939685 8.799662
3.890162 -2.834452 74.048340  6.727294 7.038067 6.105870 7.141701 7.353300 6.524037 8.799662
3.699696 -3.074527 72.619980  6.105870 8.074250 7.353300 6.524037 8.799662
13.415060 -5.463326 94.099358  6.727294 7.141701 8.074250 8.799662
16.116383 -8.688738 98.789337  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 8.799662
25.522020 -2.419371 86.690643  9.525112 9.939685 8.799662
25.905926 -1.725523 94.108810  6.727294 7.038067 8.074250 6.524037 9.525112 9.939685 8.799662
18.846283 -3.847955 79.559471  6.727294 9.525112 9.939685 8.799662
21.168873 -4.354217 84.942886  7.038067 7.141701 7.353300 9.525112 9.939685 8.799662
28.452442 -8.100550 100.105385  9.525112 9.939685 8.799662
30.616657 -10.864173 112.742203  7.141701 8.074250 7.353300 8.799662
29.085546 -11.813019 105.540092  6.727294 7.038067 7.141701 7.353300 6.524037 8.799662
8.746058 -0.384824 93.087807  3.827725 5.174268 6.727294 7.353300 6.524037 8.799662
24.921274 -2.519576 97.925056  6.727294 7.038067 7.141701 8.074250 6.524037 9.525112 8.799662
10.180255 -0.908025 87.993607  9.525112 8.799662
17.850687 -0.240258 95.484016  6.105870 9.525112 8.799662
4.668477 1.132733 63.483837  5.174268 6.727294 8.074250 6.524037 8.799662
9.842681 1.223855 65.115852  9.525112 8.799662
25.269672 -0.642902 86.223152  6.727294 7.038067 6.105870 7.141701 8.074250 6.524037 9.525112 9.939685 8.799662
5.718722 1.421395 61.177261  8.074250 8.799662
21.648481 -2.762002 61.147137  9.525112 10.250360 10.664530 8.799662
13.613435 0.590366 68.306107  6.727294 7.038067 8.074250 9.525112 9.939685 8.799662
21.479279 -0.486822 79.311295  7.141701 8.074250 9.525112 8.799662
17.122904 -2.091018 62.290733  9.525112 10.250360 9.939685 8.799662
7.094065 1.377128 61.201416  6.727294 8.074250 8.799662
9.088274 1.165455 62.508698  6.727294 7.038067 6.105870 8.074250 6.524037 9.525112 8.799662
1.237369 1.343971 65.565323  7.353300 8.799662
0.308639 -2.194154 75.582130  7.038067 7.141701 8.074250 8.799662
22.945711 -0.231106 64.962845  10.664530 9.939685 8.799662
1.165742 1.510799 61.686939  8.074250 8.799662
1.459818 1.475503 63.568153  8.074250 8.799662
42.695511 -3.076649 73.842621  9.525112 10.250360 10.664530 11.077200 12.211190 9.939685 8.799662
17.507782 -2.327154 61.578075  9.525112 10.250360 10.664530 9.939685 8.799662
7.162576 -1.380966 93.465088  7.038067 8.074250 7.353300 6.524037 8.799662
7.036663 -3.775287 98.970856  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 8.799662
19.388290 -3.773516 61.102875  9.525112 10.250360 9.939685 8.799662
22.314253 0.484491 63.290340  9.525112 10.250360 9.939685 8.799662
24.102062 0.199004 62.259117  9.525112 10.250360 10.664530 9.939685 8.799662
42.116623 -1.474492 70.842697  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 9.939685 8.799662
3.596103 1.133853 65.146164  7.353300 8.799662
21.206161 -5.084846 77.548607  6.727294 7.141701 7.353300 6.524037 8.799662
21.436066 -5.899882 77.999733  8.074250 9.525112 8.799662
4.954194 1.069579 67.497803  8.074250 8.799662
15.095779 0.899392 64.448448  7.038067 6.105870 7.141701 8.074250 9.525112 9.939685 8.799662
15.508119 0.872691 63.186146  8.074250 9.525112 10.250360 9.939685 8.799662
15.822455 -6.653346 102.436882  8.074250 7.353300 6.524037 8.799662
16.636030 -7.985340 104.126854  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 8.799662
1.305614 -1.622188 71.358437  6.727294 7.038067 6.105870 7.141701 7.353300 6.524037 8.799662
17.819016 -6.014162 95.003571  7.141701 9.525112 8.799662
18.656422 -7.738091 95.639771  6.727294 8.074250 7.353300 8.799662
16.177931 -7.269143 95.820488  6.105870 7.353300 8.799662
15.594599 -1.212637 63.851776  10.664530 9.939685 8.799662
18.818235 -2.789166 65.128853  8.074250 9.525112 10.250360 8.799662
15.363681 -1.877892 63.931095  9.939685 8.799662
27.638199 -9.681615 106.226540  8.074250 8.799662
31.630293 -12.198088 115.144295  6.727294 7.038067 7.141701 8.074250 7.353300 6.524037 9.525112 8.799662
24.204306 -1.423274 87.652657  7.141701 7.353300 6.524037 8.799662
22.642666 -3.021214 83.485832  7.038067 7.141701 7.353300 9.525112 9.939685 8.799662
21.209026 -4.422657 85.082588  7.038067 7.141701 8.074250 7.353300 9.525112 9.939685 8.799662
22.247404 -0.995922 97.010719  7.038067 6.105870 9.525112 8.799662
23.468939 -3.555437 99.415176  6.727294 9.525112 8.799662
10.688804 -0.918432 89.786247  9.525112 8.799662
0.300223 1.558243 61.652557  8.074250 7.353300 6.524037 8.799662
3.473045 1.464352 61.192955  6.727294 8.074250 7.353300 6.524037 8.799662
4.528877 1.496115 60.773792  8.074250 8.799662
22.853327 -4.102617 73.502533  6.727294 7.353300 9.525112 8.799662
15.953545 0.929528 60.190159  9.525112 10.250360 9.939685 8.799662
17.566347 -2.138351 62.491852  9.525112 9.939685 8.799662
20.035275 0.396800 62.221161  9.525112 10.250360 9.939685 8.799662
20.785393 0.017682 63.819607  10.250360 10.664530 9.939685 8.799662
50.455109 -1.860998 73.369637  9.525112 10.664530 11.799490 11.385900 11.077200 9.939685 8.799662
5.287942 1.148176 68.773178  8.074250 8.799662
17.548752 0.663233 62.223732  9.525112 10.250360 10.664530 9.939685 8.799662
23.222162 -7.093371 82.731789  7.038067 7.141701 7.353300 8.799662
40.814503 -2.279375 88.726105  9.525112 10.664530 9.939685 8.799662
38.645569 -4.165166 84.306000  10.250360 9.939685 8.799662
14.841939 0.885649 64.203995  7.141701 8.074250 9.525112 9.939685 8.799662
18.622524 -3.109885 61.143883  9.939685 8.799662
3.685506 1.198535 65.542503  7.353300 8.799662
2.707446 -1.879661 70.735458  8.074250 8.799662
18.319040 -4.760491 95.208382  5.174268 7.038067 7.141701 8.074250 7.353300 6.524037 8.799662
17.307795 -7.207183 92.307060  6.727294 7.038067 7.141701 8.074250 7.353300 6.524037 8.799662
15.155370 0.841668 62.989727  9.525112 9.939685 8.799662
15.680282 0.285873 63.936279  8.074250 8.799662
31.152163 -11.779309 108.282166  6.727294 7.141701 8.799662
28.427746 -11.006428 108.870728  6.727294 7.038067 7.141701 8.074250 7.353300 6.524037 8.799662
6.067819 -3.668591 75.812874  6.727294 7.141701 8.074250 7.353300 6.524037 8.799662
17.323637 -2.553146 62.882072  9.525112 10.250360 9.939685 8.799662
17.564823 -3.218385 63.515518  9.525112 10.250360 9.939685 8.799662
17.959219 -3.415090 63.104553  9.525112 9.939685 8.799662
1.242922 -3.438491 78.615028  6.727294 7.141701 8.074250 7.353300 8.799662
15.382093 -1.888630 63.940125  8.074250 9.525112 8.799662
25.015875 -1.812217 89.021591  6.727294 7.038067 8.074250 7.353300 9.525112 8.799662
22.682158 -4.035909 87.593330  7.038067 7.141701 8.799662
12.159825 -2.347790 93.247101  6.105870 8.074250 8.799662
11.094085 -1.049429 94.516685  7.038067 8.074250 7.353300 6.524037 8.799662
9.749825 -1.711427 96.253586  6.727294 8.074250 7.353300 6.524037 8.799662
0.052740 1.565413 63.709644  6.105870 7.141701 8.074250 7.353300 8.799662
-0.629243 1.429638 75.135353  6.105870 8.074250 7.353300 8.799662
4.895759 1.195843 63.336716  6.524037 9.525112 8.799662
19.557762 0.254333 94.213249  6.727294 8.074250 6.524037 9.525112 8.799662
24.660904 -0.643613 85.255356  6.727294 7.141701 8.074250 6.524037 8.799662
10.921033 1.160926 62.838184  6.727294 7.038067 6.105870 8.074250 6.524037 8.799662
23.362913 -0.344727 74.376289  6.727294 7.038067 7.141701 8.074250 7.353300 9.939685 8.799662
17.416319 -2.564382 64.207985  9.525112 10.250360 9.939685 8.799662
15.365602 0.912129 59.595577  9.525112 10.250360 9.939685 8.799662
23.738461 -0.583926 80.766312  6.727294 7.038067 6.105870 6.524037 9.525112 8.799662
24.772984 -0.594065 83.730499  7.038067 6.105870 7.141701 8.074250 9.525112 9.939685 8.799662
18.290800 -2.824957 61.352192  9.525112 10.250360 9.939685 8.799662
17.638842 -2.907507 62.140419  9.525112 9.939685 8.799662
19.758368 -4.607957 77.806335  8.074250 9.525112 9.939685 8.799662
54.779495 -2.056302 75.253563  9.525112 10.250360 10.664530 11.385900 9.939685 8.799662
3.902804 -2.688397 74.542130  6.727294 7.141701 8.074250 6.524037 8.799662
5.100402 1.063564 68.577919  5.174268 6.727294 6.105870 8.074250 6.524037 8.799662
10.681241 0.342504 89.455223  6.727294 8.074250 7.353300 8.799662
24.352119 -6.933815 99.524315  6.727294 7.038067 7.141701 8.074250 6.524037 9.525112 8.799662
46.553764 -4.944089 90.934364  9.525112 10.250360 9.939685 8.799662
14.601723 -1.750504 63.287678  9.525112 10.250360 9.939685 8.799662
20.583708 -8.757092 118.043304  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 9.525112 8.799662
13.516374 -4.540119 95.093117  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 9.525112 8.799662
14.826693 -7.150365 98.226372  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 8.799662
17.787920 -3.698534 63.860630  8.074250 9.525112 9.939685 8.799662
13.776573 -2.001479 96.620483  4.760815 6.727294 7.038067 6.105870 7.353300 6.524037 8.799662
19.047752 -4.951718 96.778419  7.141701 8.799662
17.882851 -4.504591 97.494827  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037 8.799662
17.696663 -7.377030 93.364235  7.038067 7.141701 8.074250 7.353300 8.799662
24.554417 -1.611080 91.799461  6.727294 7.038067 6.105870 6.524037 8.799662
11.118938 -1.068141 94.635330  8.074250 7.353300 8.799662
18.265509 -3.388969 79.292511  8.074250 7.353300 9.939685 8.799662
26.319979 -5.498330 93.391083  7.038067 7.141701 8.074250 7.353300 9.525112 8.799662
21.281002 -6.291390 84.432350  7.038067 7.141701 8.074250 7.353300 8.799662
0.006929 1.544408 63.811035  7.141701 8.074250 7.353300 8.799662
1.940934 0.952861 74.457298  4.760815 8.074250 8.799662
3.721232 1.209551 65.669449  7.353300 6.524037 8.799662
21.024210 -0.025314 91.299316  8.074250 8.799662
10.885194 1.157609 62.799648  6.727294 7.038067 6.105870 8.074250 6.524037 9.525112 8.799662
17.489254 -2.856059 64.199310  8.074250 9.939685 8.799662
24.602684 -0.228665 65.855606  9.525112 9.939685 8.799662
42.497990 -3.927229 72.517982  9.525112 10.250360 10.664530 9.939685
16.253828 -4.030446 63.982952  9.525112 9.939685
33.716900 -0.473996 62.898872  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 12.727430 9.939685
17.532391 -2.781125 61.816845  9.525112 10.250360 10.664530 9.939685
20.826904 0.555369 60.958157  10.250360 9.939685
19.253607 0.625886 61.300583  10.664530 11.385900 11.077200 9.939685
21.781960 0.348174 62.084919  10.250360 10.664530 11.385900 11.077200 9.939685
17.335196 -1.950549 62.303715  10.664530 9.939685
17.617561 -2.527822 62.031704  10.250360 10.664530 9.939685
17.291580 -2.540340 62.110073  10.250360 10.664530 9.939685
18.418055 -2.538242 60.599087  10.250360 10.664530 11.077200 9.939685
35.925797 -3.531914 63.725845  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 12.727430 9.939685
55.856876 -3.476766 86.161613  10.250360 11.799490 11.077200 9.939685
53.580551 -3.140388 85.802597  9.525112 10.250360 11.799490 11.385900 11.077200 9.939685
37.870716 -4.940337 62.515129  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 9.939685
35.892441 -4.005136 64.862717  10.250360 11.799490 11.077200 12.211190 13.244210 12.727430 9.939685
20.794041 -2.597416 60.823757  9.525112 10.250360 10.664530 11.077200 9.939685
18.701775 -2.665738 60.275684  9.525112 10.250360 10.664530 11.077200 9.939685
21.150930 0.390034 62.078102  10.250360 10.664530 11.077200 9.939685
18.466246 0.513584 61.881828  9.525112 9.939685
51.736942 -3.748485 63.797096  11.799490 11.385900 11.077200 12.211190 13.554880 14.588970 12.727430 9.939685
50.591000 -4.109303 64.367516  11.799490 11.385900 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 14.175050 12.727430 9.939685
39.448410 -3.341733 62.837219  10.250360 10.664530 11.385900 11.077200 9.939685
14.250739 0.872375 63.583954  10.250360 9.939685
15.161178 0.349202 63.753483  9.525112 10.250360 10.664530 9.939685
21.625935 -3.584858 60.341297  9.525112 10.664530 11.077200 9.939685
21.512960 -3.863270 60.073067  9.525112 10.250360 11.077200 9.939685
39.909927 -6.606748 62.081902  9.525112 10.250360 10.664530 11.385900 11.077200 9.939685
16.413595 0.804501 61.866138  10.250360 10.664530 9.939685
15.652327 0.840016 62.164356  9.525112 10.250360 10.664530 9.939685
17.430479 0.223314 62.567730  10.664530 9.939685
17.815697 -4.567636 63.327255  9.525112 9.939685
17.139601 -3.586331 63.486057  9.525112 10.250360 9.939685
19.140999 -4.521199 61.517677  9.525112 9.939685
18.493252 -3.235845 59.931885  10.250360 10.664530 9.939685
21.320988 -3.054986 60.065979  10.250360 11.077200 9.939685
20.334955 -4.520722 60.996143  9.525112 10.250360 9.939685
21.325068 -5.353011 61.196331  9.525112 9.939685
18.078531 -2.777065 61.224323  9.525112 10.250360 10.664530 9.939685
18.061769 -3.242401 61.129463  10.250360 10.664530 9.939685
17.271765 -2.704654 62.770988  10.250360 10.664530 9.939685
17.674747 -3.614215 61.569561  9.525112 10.250360 9.939685
26.835127 0.249074 52.088333  10.250360 10.664530 11.077200 9.939685
51.312019 -2.605584 48.139206  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 14.175050 12.727430 9.939685
26.994347 0.181804 50.812885  10.250360 10.664530 11.385900 11.077200 9.939685
30.529381 -1.683872 50.661507  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 9.939685
24.989279 0.406018 54.201656  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 9.939685
32.336452 0.009813 54.388027  11.385900 11.077200 12.211190 12.727430 9.939685
49.004440 -1.374667 53.549084  10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 14.175050 12.727430 9.939685
58.780956 -7.992524 47.211620  13.554880 13.864670 14.588970 14.175050 9.939685
62.861404 -8.794227 42.257401  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 12.727430 9.939685
59.914608 -8.364257 44.661545  13.554880 13.864670 9.939685
17680.222656 -4213.276855 561.552185  9.525112 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 14.588970 15.106400 15.520220 16.039410 14.175050 12.727430 9.939685
21.278147 0.604747 59.999592  10.250360 10.664530 11.385900 11.077200 9.939685
49.503311 -2.030144 64.987549  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 14.175050 12.727430 9.939685
15.684076 0.904513 59.946339  10.250360 10.664530 9.939685
67.096207 -15.987247 66.394417  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 9.939685
149.126770 -27.025040 73.848259  9.525112 10.250360 9.939685
1418.599731 -325.409821 219.992676  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.554880 13.864670 14.175050 12.727430 9.939685
54.975727 -3.873751 63.933651  9.525112 10.250360 11.799490 11.385900 11.077200 12.211190 13.554880 9.939685
14.508133 0.893657 61.453892  10.664530 9.939685
13.692458 0.947662 61.696739  10.250360 9.939685
10.689019 1.142471 62.714447  9.525112 10.250360 9.939685
14.983620 -1.865453 63.730320  10.250360 10.664530 9.939685
16.734455 -2.445095 63.729095  10.250360 10.664530 9.939685
35.378742 -3.716912 95.275963  6.727294 6.105870 6.524037 9.939685
17.103275 -2.368411 62.652187  10.250360 10.664530 11.077200 9.939685
17.849010 -2.846520 61.977844  9.525112 10.250360 10.664530 9.939685
17.239941 -2.752855 62.158989  9.525112 10.250360 10.664530 9.939685
22.734632 0.416770 61.862511  9.525112 9.939685
40.325325 -3.120128 63.688099  10.250360 10.664530 11.385900 9.939685
52.183010 -4.178618 63.943985  11.799490 12.727430 9.939685
38.409206 -3.265509 62.640743  9.525112 10.250360 10.664530 11.385900 11.077200 9.939685
32.961170 -0.632437 63.896496  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 9.939685
35.815010 -3.964831 64.800331  10.250360 10.664530 11.799490 12.211190 12.727430 9.939685
19.113197 -2.499827 60.068268  10.250360 10.664530 9.939685
21.027855 -2.639347 60.915890  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 9.939685
25.885769 -8.674253 94.582039  9.525112 9.939685
37.858952 -4.949079 62.535027  10.664530 11.385900 11.077200 12.211190 9.939685
36.751743 -5.398530 61.963409  11.799490 11.385900 11.077200 12.211190 12.727430 9.939685
15.011079 0.823046 62.735088  9.525112 10.250360 10.664530 9.939685
15.394681 0.299116 63.597103  9.525112 10.250360 9.939685
18.002983 0.732855 61.798817  9.525112 10.250360 9.939685
21.381962 -3.546762 60.277237  9.525112 10.664530 11.077200 9.939685
21.832926 -3.936368 60.199734  9.525112 10.250360 10.664530 9.939685
17.775568 -3.658109 63.453121  10.250360 9.939685
16.482325 0.806324 61.910671  9.525112 10.250360 10.664530 9.939685
16.050602 0.724753 62.042473  10.250360 10.664530 9.939685
15.848591 0.477528 62.290195  10.250360 10.664530 9.939685
19.198956 0.619494 61.873627  9.525112 10.250360 9.939685
21.198797 0.391610 62.105690  10.250360 11.077200 9.939685
14.826004 0.746310 63.428791  9.525112 10.250360 9.939685
17.689173 -3.629272 61.588833  9.525112 10.250360 9.939685
16.805367 -2.749755 63.205940  10.664530 9.939685
16.871902 -2.675196 63.726933  8.074250 9.525112 10.250360 10.664530 9.939685
21.877832 -2.561527 60.185638  9.525112 10.250360 10.664530 9.939685
18.358500 -3.318425 61.263920  10.250360 10.664530 9.939685
15.777565 0.402191 62.456806  9.525112 10.250360 10.664530 9.939685
17.403305 0.209789 63.900730  9.525112 10.250360 9.939685
18.326544 -3.318437 61.063000  10.250360 10.664530 9.939685
18.465979 -2.904491 60.203465  10.250360 10.664530 9.939685
17.638323 -3.357082 62.859161  9.525112 10.250360 9.939685
27.311039 0.263201 52.026512  10.250360 10.664530 11.799490 11.385900 11.077200 9.939685
34.232925 -0.199417 51.930386  10.250360 10.664530 11.799490 11.385900 9.939685
50.954559 -2.859283 50.389538  10.250360 10.664530 11.799490 11.385900 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 14.175050 12.727430 9.939685
26.727743 0.170446 50.860756  10.250360 10.664530 11.385900 11.077200 9.939685
25.466606 0.405825 54.176125  10.250360 10.664530 11.799490 11.385900 11.077200 9.939685
49.621334 -2.375130 52.405106  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 14.175050 12.727430 9.939685
122.894623 -19.972265 62.760803  10.664530 11.799490 11.385900 11.077200 12.211190 9.939685
80.226509 -6.701518 57.065151  9.525112 10.250360 10.664530 11.799490 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 15.520220 16.039410 16.554450 17.175580 14.175050 9.939685
66.818253 -4.699528 57.743309  10.250360 10.664530 11.799490 11.385900 11.077200 13.244210 13.554880 13.864670 12.727430 9.939685
103.702248 -14.016028 56.294968  11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 15.106400 14.175050 12.727430 9.939685
108.508484 -15.469317 54.110527  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 14.588970 15.106400 15.520220 16.039410 16.554450 14.175050 12.727430 9.939685
21.285685 0.609377 60.003925  10.250360 10.664530 11.385900 11.077200 9.939685
49.423023 -2.049471 64.987167  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.864670 14.175050 12.727430 9.939685
13.544428 0.951305 57.806755  10.250360 9.939685
19.076126 0.690530 59.788513  10.250360 10.664530 11.077200 9.939685
14.771264 0.895462 60.903980  10.250360 10.664530 9.939685
13.675531 0.989936 58.276257  9.525112 10.250360 9.939685
15.662810 0.901219 59.945721  10.250360 10.664530 9.939685
66.738686 -15.915846 66.372810  10.250360 10.664530 11.077200 9.939685
99.023491 -17.823755 67.422386  9.525112 10.250360 11.077200 9.939685
54.304794 -4.421804 63.528522  10.250360 10.664530 9.939685
112.296684 -15.258965 63.885727  10.664530 11.077200 14.175050 9.939685
11.311653 1.173353 59.454514  9.525112 9.939685
14.806342 0.921987 61.637287  9.525112 10.250360 9.939685
13.916344 0.980434 61.851402  9.525112 10.250360 9.939685
15.639145 0.915982 67.924446  9.525112 9.939685
23.401783 -0.214885 75.224258  7.038067 7.141701 8.074250 9.939685
24.932568 -0.329594 78.799843  7.038067 7.141701 8.074250 9.525112 10.250360 9.939685
11.809999 1.060243 62.501343  9.525112 10.250360 9.939685
16.386906 -3.316050 64.210365  10.250360 9.939685
16.718739 -2.411377 63.721050  10.664530 9.939685
21.842989 -0.303070 77.630554  6.727294 7.038067 10.250360 9.939685
22.001928 -0.441824 79.758995  6.727294 7.141701 8.074250 9.525112 10.250360 9.939685
10.651165 1.080507 67.823608  9.525112 9.939685
15.820271 0.614556 62.248459  9.525112 9.939685
18.557156 0.518022 61.923435  10.250360 10.664530 11.077200 9.939685
21.748180 -3.913098 60.172031  9.525112 10.250360 10.664530 9.939685
34.397610 -0.668590 64.357788  10.250360 10.664530 11.077200 9.939685
41.058231 -1.853777 65.768669  9.525112 10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 9.939685
18.024328 -3.722490 63.601852  9.525112 10.250360 9.939685
22.049612 -0.111681 65.975029  10.250360 9.939685
18.402031 -2.938689 60.367107  10.250360 10.664530 9.939685
