-0.198309 1.527699 10.382841  0.311075 0.414692
78.661591 -4.375662 147.156784  28.409630 27.995100
68.802231 -1.854339 138.274246  27.684070 27.995100
69.004944 -2.271158 137.381409  27.373230 27.684070 27.995100
70.394791 -2.800587 146.539001  27.373230 28.409630 28.722280 27.684070 27.995100
71.489456 -1.986718 146.382919  27.373230 28.409630 27.684070 27.995100
71.758789 -2.715381 146.314835  26.544050 27.373230 28.409630 28.722280 29.031560 27.684070 27.995100
80.945663 -8.343838 155.848175  27.684070 27.995100
76.738365 -4.189807 152.023956  28.409630 28.722280 29.031560 27.995100
80.117775 -5.586797 154.345154  28.409630 28.722280 29.031560 27.684070 27.995100
79.210327 -10.646975 166.381134  27.373230 25.818220 27.684070 27.995100
70.581131 -3.281827 147.434021  26.544050 28.409630 28.722280 27.684070 27.995100
74.969734 -4.799253 157.639816  26.544050 26.958500 25.818220 26.129230 27.995100
66.170738 -1.761361 139.596497  27.373230 27.684070 27.995100
66.961159 -1.811731 139.744400  27.684070 27.995100
64.667404 -2.498609 141.753204  27.373230 28.409630 27.684070 27.995100
66.090576 -2.160195 142.689697  27.373230 28.409630 27.684070 27.995100
66.182426 -2.642091 144.375092  28.409630 27.684070 27.995100
63.823627 -6.190038 148.629959  27.684070 27.995100
62.884422 -2.219205 144.226318  26.958500 27.373230 28.409630 27.684070 27.995100
62.966583 -2.214201 144.926834  28.409630 27.995100
63.028889 -2.592544 144.268234  28.409630 27.684070 27.995100
62.043301 -2.132545 140.568726  26.958500 27.373230 27.684070 27.995100
62.363983 -4.502032 141.916580  27.684070 27.995100
62.171402 -3.320670 141.188538  27.684070 27.995100
62.406551 -2.023961 142.032806  27.684070 27.995100
71.645172 -2.455560 146.770233  26.958500 27.373230 28.722280 27.684070 27.995100
71.331268 -1.980926 145.373871  26.958500 27.684070 27.995100
71.534340 -1.969745 146.351974  27.373230 28.409630 27.995100
70.129517 -13.292356 292.285248  27.684070 27.995100
67.347565 -9.211967 241.385437  28.409630 28.722280 29.031560 27.684070 27.995100
78.562950 -12.428033 180.479492  26.544050 26.958500 27.373230 28.409630 28.722280 24.056420 25.196320 25.818220 26.129230 24.885470 27.684070 27.995100
64.264297 -2.037570 142.974976  26.544050 26.958500 27.373230 27.684070 27.995100
64.657715 -2.503136 141.758408  26.544050 26.958500 27.373230 28.409630 27.684070 27.995100
80.626404 -9.250795 210.203018  23.537560 26.544050 26.958500 27.373230 28.409630 24.056420 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
65.644257 -2.293923 141.808395  26.958500 28.409630 27.684070 27.995100
70.987900 -2.292474 152.147552  26.958500 27.373230 28.409630 27.995100
70.231979 -2.821352 146.783051  28.409630 27.995100
66.962349 -2.451307 147.308487  27.373230 28.409630 28.722280 29.031560 27.684070 27.995100
66.946815 -2.855371 147.637619  28.409630 29.031560 27.995100
77.473053 -7.831806 170.536743  27.373230 26.129230 23.017610 27.995100
75.226341 -7.054443 158.844345  28.409630 28.722280 29.031560 27.684070 27.995100
78.083450 -10.689510 200.026459  26.958500 27.373230 29.031560 30.483050 31.001380 31.416200 31.830690 27.684070 27.995100
80.575180 -7.870283 160.407730  27.373230 28.409630 28.722280 29.031560 26.129230 27.995100
67.277260 -3.534840 179.460083  26.958500 27.373230 28.409630 28.722280 29.031560 31.001380 27.684070 27.995100
82.409096 -8.991576 161.097488  26.544050 26.958500 27.373230 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
80.137856 -8.117475 160.366226  27.373230 28.409630 28.722280 29.031560 27.684070 27.995100
79.718613 -9.168363 160.733932  26.544050 26.958500 27.373230 28.409630 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
81.091888 -6.451189 159.014664  28.722280 29.031560 27.995100
81.427788 -6.897345 160.440994  28.409630 28.722280 29.549760 27.995100
64.825150 -4.935698 233.082626  27.373230 28.409630 29.031560 31.001380 31.416200 32.245260 27.995100
74.094299 -2.521014 146.810715  28.409630 28.722280 27.995100
62.852856 -3.350864 143.758301  27.373230 28.409630 27.684070 27.995100
66.952248 -1.834122 139.661972  26.958500 27.373230 27.684070 27.995100
63.089218 -3.369227 145.250458  28.409630 27.995100
79.679321 -8.034373 168.029739  23.537560 26.958500 27.373230 28.409630 28.722280 29.549760 25.196320 25.507250 25.818220 24.885470 27.684070 27.995100
79.082741 -8.998990 164.741989  27.373230 27.995100
65.174324 -1.629869 141.986572  26.544050 26.958500 27.373230 27.684070 27.995100
68.906097 -3.114404 135.777130  27.373230 27.684070 27.995100
83.159683 -7.576200 160.885361  27.373230 28.409630 28.722280 29.031560 27.684070 27.995100
61.885090 -3.896654 140.882645  27.373230 27.684070 27.995100
62.809330 -4.599372 143.739914  26.544050 26.958500 27.373230 28.409630 27.684070 27.995100
62.789841 -4.839522 143.766495  27.373230 27.684070 27.995100
62.906281 -2.200739 145.052246  26.544050 26.958500 27.373230 28.409630 27.684070 27.995100
77.766083 -6.346375 167.299255  26.544050 26.958500 27.373230 25.507250 27.684070 27.995100
62.884609 -2.219244 144.246231  27.373230 28.409630 27.995100
64.693398 -7.268768 158.452057  27.684070 27.995100
69.013588 -2.268297 137.415726  27.684070 27.995100
70.479866 -2.795612 146.714951  26.958500 27.373230 28.409630 28.722280 27.684070 27.995100
63.602261 -3.425766 148.114349  28.722280 27.995100
80.332275 -14.878819 196.597122  23.537560 26.544050 26.958500 27.373230 29.031560 22.289170 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.995100
78.961853 -13.520061 203.481277  26.544050 27.373230 24.885470 27.995100
78.944008 -9.043471 177.042343  26.544050 26.958500 27.373230 28.409630 29.031560 24.056420 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
80.025345 -10.124179 174.053329  26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
72.394920 -2.846404 170.422607  26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 29.964620 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
63.770351 -1.700271 143.067841  26.958500 27.373230 27.684070 27.995100
78.683495 -5.573743 144.675018  26.544050 27.373230 25.196320 25.507250 25.818220 27.684070 27.995100
65.258774 -2.203557 141.711029  27.684070 27.995100
65.134087 -2.554140 141.324432  28.409630 27.995100
66.437553 -1.946236 145.466904  28.409630 27.995100
67.141785 -1.876595 147.694183  26.544050 25.818220 26.129230 27.995100
76.718712 -17.194159 234.467850  26.544050 26.958500 27.373230 28.409630 28.722280 24.056420 24.471000 25.196320 25.818220 26.129230 24.885470 27.684070 27.995100
71.438797 -1.947958 145.610275  28.409630 27.995100
71.208382 -2.173765 146.033020  26.544050 26.958500 28.409630 26.129230 27.684070 27.995100
62.428551 -2.357048 142.148727  26.958500 27.373230 27.684070 27.995100
78.430504 -5.403964 151.774353  26.544050 26.958500 27.373230 28.409630 28.722280 27.684070 27.995100
65.640938 -2.304583 141.869873  26.544050 26.958500 27.684070 27.995100
80.097504 -6.669969 160.258850  23.537560 28.722280 29.031560 26.129230 24.885470 23.017610 27.995100
75.323570 -6.733339 176.001678  23.537560 26.544050 26.958500 27.373230 28.409630 28.722280 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
81.370598 -6.255921 159.339111  26.544050 26.958500 27.373230 25.818220 26.129230 27.684070 27.995100
66.981850 -2.461631 147.269119  28.409630 27.995100
66.918571 -2.828535 147.272217  26.958500 28.409630 27.684070 27.995100
80.080116 -8.170399 160.403961  26.958500 28.409630 28.722280 27.684070 27.995100
79.671211 -8.449233 160.595322  26.958500 28.409630 27.995100
80.877060 -9.189692 160.833527  26.958500 27.373230 26.129230 27.684070 27.995100
80.795029 -7.696726 158.736633  27.373230 27.684070 27.995100
82.239357 -9.425072 162.165283  26.544050 26.958500 27.373230 28.409630 25.818220 27.684070 27.995100
64.583656 -2.712220 142.577484  28.409630 27.995100
79.269341 -4.874674 143.274307  26.544050 26.958500 27.373230 26.129230 27.684070 27.995100
79.368790 -4.826271 143.359268  26.544050 26.958500 27.373230 27.684070 27.995100
62.803406 -4.820645 143.740509  27.373230 27.684070 27.995100
78.793152 -5.668680 146.752762  28.409630 27.995100
62.755341 -4.716911 145.524796  26.958500 27.373230 28.409630 27.684070 27.995100
62.923420 -4.909221 145.478607  27.373230 28.409630 27.684070 27.995100
62.132790 -3.322212 141.215683  27.373230 27.684070 27.995100
62.833733 -3.349845 143.823563  27.373230 28.409630 27.684070 27.995100
79.041641 -7.907869 166.239349  26.544050 26.958500 25.196320 25.818220 26.129230 27.684070 27.995100
79.419952 -9.156021 162.835587  23.537560 26.544050 26.958500 28.409630 24.056420 24.471000 25.196320 25.507250 25.818220 23.017610 27.684070 27.995100
79.369949 -9.160575 165.673874  23.537560 27.373230 22.289170 24.056420 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
61.832367 -3.899508 140.971649  26.544050 26.958500 27.373230 27.684070 27.995100
65.160278 -1.665689 141.876862  27.684070 27.995100
61.997074 -2.127738 140.632584  26.958500 27.684070 27.995100
62.986706 -2.260292 143.842026  26.958500 27.373230 27.684070 27.995100
80.136322 -6.686622 152.935715  26.544050 26.958500 27.373230 28.409630 28.722280 26.129230 27.684070 27.995100
70.362274 -3.210586 146.744324  26.544050 27.373230 28.409630 24.471000 25.196320 25.507250 25.818220 26.129230 27.684070 27.995100
75.723808 -5.924968 164.457886  23.537560 26.958500 28.409630 29.031560 21.770100 22.289170 25.196320 25.818220 24.885470 27.995100
77.745728 -3.535267 148.838379  28.409630 28.722280 29.031560 27.995100
67.627182 -2.935876 150.128632  26.544050 26.958500 27.373230 27.684070 27.995100
71.173683 -11.155885 230.703735  28.409630 28.722280 25.507250 25.818220 26.129230 27.684070 27.995100
64.542068 -7.621548 161.264343  27.373230 27.684070 27.995100
64.301399 -2.353477 142.123581  28.409630 27.995100
62.945282 -2.221460 144.866287  28.409630 27.995100
63.041893 -2.609004 144.061935  28.409630 27.684070 27.995100
71.623741 -13.941220 237.726028  26.544050 26.958500 33.593560 26.129230 27.684070 27.995100
71.275322 -2.770784 146.383957  26.958500 28.409630 25.818220 27.684070 27.995100
63.572216 -4.867453 148.030197  26.544050 26.958500 28.409630 27.684070 27.995100
64.423912 -5.983446 151.942566  28.409630 28.722280 27.995100
63.548527 -3.938403 148.793213  27.684070 27.995100
78.768951 -8.985291 176.326401  26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
80.622917 -10.404531 175.847610  28.409630 28.722280 29.031560 24.885470 27.684070 27.995100
64.686005 -2.837216 144.617935  27.684070 27.995100
64.465546 -4.857169 160.559067  27.373230 28.409630 28.722280 27.684070 27.995100
63.032509 -3.377877 145.565659  26.958500 27.373230 28.409630 27.684070 27.995100
66.941620 -1.837387 139.675415  26.544050 26.958500 25.818220 26.129230 27.684070 27.995100
79.529541 -5.596686 150.365112  26.544050 26.958500 27.373230 28.409630 26.129230 27.684070 27.995100
78.659187 -5.575357 144.676407  27.373230 27.684070 27.995100
79.538155 -11.114482 176.493210  26.958500 27.373230 28.409630 27.684070 27.995100
65.268456 -2.218199 141.589172  26.544050 26.958500 27.373230 27.684070 27.995100
65.634811 -2.198193 142.132278  27.373230 26.129230 27.995100
65.507820 -2.555159 141.437561  27.684070 27.995100
82.081154 -6.399423 160.514847  28.409630 27.995100
82.346352 -8.829982 160.819366  28.409630 27.684070 27.995100
80.565514 -8.536430 160.015060  26.544050 27.373230 27.995100
64.909973 -3.735233 157.133041  28.409630 28.722280 27.995100
62.133629 -3.306390 141.239487  26.958500 27.373230 27.684070 27.995100
78.362045 -5.583783 146.358795  26.544050 26.958500 27.373230 27.684070 27.995100
66.083832 -1.951043 142.534760  26.958500 27.684070 27.995100
65.109169 -1.633577 141.631805  26.544050 26.958500 27.373230 25.196320 25.507250 25.818220 27.684070 27.995100
62.936813 -4.869462 145.353714  27.373230 28.409630 27.684070 27.995100
62.489548 -1.713771 142.029205  27.373230 27.684070 27.995100
79.031387 -7.981490 166.493073  28.409630 25.196320 27.684070 27.995100
73.213165 -13.257010 257.214508  26.544050 26.958500 27.373230 27.684070 27.995100
68.884529 -3.107421 135.735214  27.373230 27.684070 27.995100
68.828850 -2.415614 136.976059  27.684070 27.995100
71.943092 -3.128225 147.669144  26.544050 26.958500 27.373230 28.409630 28.722280 26.129230 27.684070 27.995100
77.154045 -4.571656 162.473785  23.537560 26.544050 24.056420 25.196320 25.507250 25.818220 24.885470 23.017610 27.684070 27.995100
62.982620 -2.260659 143.934052  27.373230 27.684070 27.995100
71.159454 -13.096626 269.950989  27.373230 28.722280 27.684070 27.995100
64.532028 -7.643267 161.347397  27.373230 28.409630 28.722280 27.684070 27.995100
66.460472 -1.928405 145.627365  26.958500 27.373230 27.684070 27.995100
71.559364 -2.756411 145.875305  27.373230 27.684070 27.995100
71.300659 -2.757816 146.386963  26.958500 28.409630 28.722280 25.507250 25.818220 26.129230 27.684070 27.995100
63.605988 -3.742967 148.151703  28.409630 27.995100
63.604782 -4.818553 147.994202  26.958500 27.373230 28.409630 26.129230 27.684070 27.995100
73.346375 -2.804692 164.116531  26.544050 26.958500 27.373230 28.409630 28.722280 25.507250 26.129230 27.684070 27.995100
66.148102 -2.112777 142.789291  26.958500 27.684070 27.995100
66.164574 -2.662974 144.170273  28.409630 27.684070 27.995100
78.747681 -8.924010 176.259216  26.544050 26.958500 27.373230 28.409630 29.031560 29.549760 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
79.433121 -11.940699 182.788391  23.537560 26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 22.289170 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
64.654190 -2.500025 141.803421  26.544050 26.958500 27.373230 28.409630 27.995100
63.007572 -3.376902 145.544098  26.544050 27.373230 28.409630 26.129230 27.684070 27.995100
63.785091 -1.718536 143.082352  26.958500 27.373230 27.684070 27.995100
66.941376 -1.842901 139.626907  26.544050 26.958500 27.373230 27.684070 27.995100
80.182304 -5.684335 152.379837  26.544050 25.507250 26.129230 27.684070 27.995100
78.607864 -5.575700 144.635864  27.373230 24.056420 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
65.169800 -4.297453 156.244141  27.373230 27.684070 27.995100
81.306267 -7.780150 160.896393  26.544050 26.958500 27.373230 28.409630 25.196320 27.684070 27.995100
64.691498 -2.858166 144.404984  27.684070 27.995100
64.463295 -4.814785 159.256180  27.373230 28.409630 28.722280 27.684070 27.995100
65.651802 -2.288509 142.283676  27.373230 27.684070 27.995100
80.842728 -8.532974 162.331284  26.544050 26.958500 27.373230 28.409630 26.129230 27.684070 27.995100
68.501534 -3.018043 134.556000  27.373230 27.684070 27.995100
63.749584 -1.659742 143.387451  27.373230 27.684070 27.995100
70.466866 -3.238877 147.387756  26.544050 27.373230 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 27.995100
71.641090 -2.967062 154.509811  26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070 27.995100
79.324066 -5.554194 150.282028  23.537560 26.544050 26.958500 22.289170 24.056420 24.471000 25.507250 26.129230 23.017610 27.684070 27.995100
62.932892 -3.387017 145.624344  26.544050 26.958500 28.409630 27.684070 27.995100
78.797417 -8.428886 170.166351  23.537560 26.544050 26.958500 27.373230 24.056420 25.196320 25.507250 25.818220 26.129230 27.684070 27.995100
61.849766 -3.895948 140.894852  26.544050 26.958500 27.373230 27.684070 27.995100
78.364166 -5.563456 146.430328  26.958500 27.373230 26.129230 27.684070 27.995100
67.639717 -2.942492 150.354050  23.537560 26.544050 26.958500 27.373230 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
69.803795 -3.239962 177.735489  28.409630 28.722280 29.031560 27.995100
64.744629 -5.755054 154.160812  27.684070 27.995100
62.438240 -2.366738 142.034561  26.958500 27.684070 27.995100
62.539539 -1.739661 141.835983  27.373230 27.684070 27.995100
62.420441 -1.702727 141.950775  26.544050 26.958500 27.373230 25.818220 26.129230 27.684070 27.995100
62.597363 -1.822882 141.837997  27.684070 27.995100
79.048004 -8.491023 173.639389  26.958500 27.373230 28.409630 27.684070 27.995100
67.058395 -2.776634 149.025940  26.958500 27.373230 27.684070 27.995100
65.149178 -1.727955 141.202133  27.684070 27.995100
64.898872 -1.670471 141.034271  26.958500 27.373230 27.684070 27.995100
79.848244 -5.419559 160.854324  23.537560 26.544050 26.958500 29.031560 21.355440 21.770100 22.289170 24.471000 25.507250 26.129230 24.885470 23.017610 27.995100
64.647690 -5.858831 161.768875  27.373230 27.684070 27.995100
64.950600 -8.190762 170.720398  28.409630 27.684070 27.995100
63.082478 -2.627039 144.107422  27.684070 27.995100
70.640785 -2.799794 147.337372  26.544050 26.958500 26.129230 27.995100
79.625641 -5.442036 153.717697  26.958500 27.373230 27.684070 27.995100
82.611450 -7.611827 160.297272  26.544050 26.958500 27.373230 27.684070 27.995100
72.240730 -2.899516 169.109207  26.958500 27.373230 28.409630 25.818220 27.684070 27.995100
78.090149 -8.168389 195.883347  26.544050 26.958500 27.373230 24.056420 24.471000 25.196320 25.507250 25.818220 24.885470 23.017610 27.684070 27.995100
78.166565 -11.388493 199.535126  23.537560 26.544050 26.958500 27.373230 28.409630 28.722280 29.031560 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
72.201546 -2.264387 147.001175  27.373230 27.684070 27.995100
71.189125 -2.039726 145.222275  28.409630 27.684070 27.995100
71.750122 -2.735385 146.322510  26.544050 27.373230 28.409630 27.684070 27.995100
71.026886 -2.776398 145.900894  26.958500 27.684070 27.995100
65.076897 -2.545506 141.641190  27.373230 26.129230 27.995100
64.643982 -2.501828 141.816635  26.544050 27.373230 24.471000 25.196320 25.818220 26.129230 24.885470 27.684070 27.995100
82.145988 -6.439258 160.683380  26.958500 27.373230 27.684070 27.995100
62.830784 -3.363562 143.949722  27.373230 27.684070 27.995100
71.582855 -3.168604 146.640305  23.537560 26.544050 26.958500 27.373230 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070 27.995100
80.911507 -5.016106 152.288467  28.409630 27.684070 27.995100
64.664001 -8.342385 151.740952  27.373230 26.129230 27.684070
64.178528 -7.920015 151.911789  26.958500 27.684070
79.657784 -10.891879 169.024826  28.409630 28.722280 29.031560 27.684070
79.435173 -11.066411 163.455139  26.544050 26.958500 27.373230 27.684070
77.204216 -12.838056 200.798004  26.544050 26.958500 28.722280 29.031560 31.001380 27.684070
79.319450 -12.400128 169.220047  26.958500 27.373230 27.684070
82.114777 -14.525490 181.384949  27.373230 28.409630 28.722280 27.684070
82.373100 -17.605139 184.893250  26.544050 26.958500 27.684070
82.991104 -9.285913 160.529144  28.409630 28.722280 29.031560 27.684070
70.814209 -2.726187 146.172287  28.722280 29.031560 27.684070
79.597816 -9.314426 162.976517  27.373230 28.409630 27.684070
64.338326 -2.128568 142.031342  27.373230 27.684070
79.289986 -6.282165 158.683182  28.722280 29.031560 27.684070
79.523155 -4.475520 143.123550  27.373230 27.684070
79.468147 -8.490836 150.307220  27.373230 27.684070
63.730118 -4.945490 149.635132  28.409630 28.722280 29.031560 27.684070
63.684540 -2.246754 148.454056  26.958500 27.373230 27.684070
80.273727 -12.230980 198.784515  26.544050 26.958500 28.409630 29.031560 27.684070
61.792637 -4.691905 139.160629  27.373230 27.684070
70.537125 -2.892622 146.659500  26.958500 27.373230 28.409630 28.722280 27.684070
62.888615 -1.603188 141.194305  27.373230 27.684070
82.518509 -8.762212 160.664505  28.409630 28.722280 29.031560 27.684070
72.265503 -8.892401 207.469406  26.544050 28.722280 24.471000 25.196320 25.507250 26.129230 24.885470 27.684070
83.560005 -11.875962 160.674835  26.544050 26.958500 27.373230 27.684070
82.144264 -11.807608 160.535446  26.544050 26.958500 27.373230 26.129230 27.684070
81.479019 -9.232275 160.496689  27.373230 28.409630 28.722280 27.684070
68.724060 -2.786387 133.915588  27.373230 27.684070
79.061623 -7.249596 144.357208  26.958500 27.373230 27.684070
81.197449 -11.345379 161.462372  26.544050 26.958500 27.373230 26.129230 27.684070
77.976570 -6.246114 163.090103  28.409630 28.722280 29.031560 29.549760 27.684070
64.823303 -8.534114 152.774979  26.958500 27.373230 27.684070
64.172783 -7.919003 151.750732  26.544050 26.958500 27.684070
63.573589 -3.920704 149.225998  28.409630 27.684070
62.934330 -1.662730 137.358246  27.373230 27.684070
63.757191 -1.690982 138.403122  27.373230 27.684070
78.534653 -7.990238 184.500687  26.544050 26.958500 27.373230 28.409630 28.722280 29.549760 29.964620 30.483050 31.001380 31.416200 25.507250 26.129230 27.684070
76.201630 -4.292956 163.206757  26.958500 27.373230 28.409630 28.722280 29.031560 29.549760 29.964620 30.483050 27.684070
62.438820 -2.335307 141.958115  26.958500 27.373230 27.684070
64.893082 -2.156469 141.827362  27.373230 27.684070
65.039452 -2.504429 141.708725  28.409630 27.684070
61.918419 -1.740953 137.613907  27.373230 27.684070
63.182583 -1.615926 137.795517  27.373230 27.684070
69.548531 -2.834882 133.865662  27.373230 27.684070
65.124153 -2.523487 141.930313  26.958500 27.373230 27.684070
64.325752 -2.128449 142.150421  27.373230 27.684070
61.815243 -3.844629 140.240448  27.373230 27.684070
77.941788 -10.458613 183.289413  27.373230 27.684070
65.783913 -3.416398 187.043457  29.549760 29.964620 31.416200 27.684070
79.032272 -7.163547 145.791153  26.544050 26.958500 27.373230 27.684070
78.542152 -4.509379 145.493835  26.958500 27.373230 27.684070
78.285431 -5.566148 145.228134  26.544050 26.958500 27.373230 27.684070
68.906166 -2.015538 136.930420  27.373230 27.684070
69.380669 -1.902740 141.354263  27.373230 27.684070
68.116760 -1.816078 137.297440  27.373230 27.684070
68.897202 -1.830702 138.539841  26.958500 27.373230 27.684070
81.415405 -11.463708 161.882095  23.537560 26.544050 26.958500 27.373230 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070
81.428528 -15.854709 182.546768  26.544050 26.958500 27.373230 24.056420 25.507250 24.885470 27.684070
80.211960 -12.003899 164.200012  26.544050 26.958500 27.373230 25.818220 26.129230 27.684070
77.678886 -6.372723 163.779724  27.373230 28.409630 27.684070
65.628784 -1.703256 137.364578  27.373230 27.684070
66.777306 -1.803043 137.093964  27.373230 27.684070
63.722954 -1.741007 144.147827  26.544050 26.958500 27.373230 27.684070
61.988247 -2.151474 139.690857  27.373230 27.684070
62.338688 -4.593243 142.077164  26.958500 27.373230 27.684070
62.739437 -6.208259 143.738968  26.544050 26.958500 27.373230 27.684070
61.874352 -3.883621 139.021210  27.373230 27.684070
84.055069 -16.030191 181.314728  26.544050 26.958500 24.471000 25.818220 26.129230 27.684070
61.843616 -3.822065 140.095535  27.373230 27.684070
62.595474 -2.381133 141.315506  27.373230 27.684070
79.539391 -8.341790 160.401367  26.544050 27.373230 28.409630 28.722280 25.818220 27.684070
71.616669 -10.650068 206.333954  26.544050 26.958500 28.409630 29.031560 29.964620 30.483050 31.830690 32.245260 25.818220 26.129230 27.684070
69.560684 -2.829960 133.883469  27.373230 27.684070
83.394272 -11.454825 160.378632  26.544050 25.818220 24.885470 27.684070
78.577805 -11.587527 195.471603  23.537560 26.958500 28.722280 29.031560 25.507250 25.818220 27.684070
63.698242 -2.237314 148.978622  26.544050 26.958500 27.373230 27.684070
80.650894 -8.387417 155.391983  26.958500 27.373230 27.684070
79.851639 -8.782101 173.466263  23.537560 26.544050 26.958500 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 27.684070
71.411987 -3.273087 150.410660  28.722280 29.031560 27.684070
69.669403 -3.133582 134.289520  27.373230 27.684070
68.094604 -2.647449 133.359879  27.373230 27.684070
78.286804 -5.570611 145.250031  26.958500 27.373230 27.684070
78.539261 -5.602346 146.530975  27.373230 27.684070
68.541801 -3.015077 134.667084  26.958500 27.373230 27.684070
68.926781 -2.002096 136.989029  26.958500 27.373230 27.684070
68.439713 -2.560438 135.318527  27.373230 27.684070
79.194565 -12.359214 168.750244  26.544050 26.958500 27.373230 25.818220 26.129230 27.684070
63.742367 -1.755943 144.119064  26.544050 26.129230 27.684070
62.926949 -6.305867 145.487595  27.373230 27.684070
64.171318 -8.010279 151.964340  26.544050 26.958500 27.373230 25.196320 25.507250 25.818220 24.885470 27.684070
63.545742 -3.907343 148.912415  26.958500 27.373230 27.684070
61.999718 -2.150223 139.663895  26.958500 27.373230 27.684070
62.876980 -6.209035 144.401505  26.544050 26.129230 27.684070
62.332172 -4.436629 142.126190  27.373230 27.684070
61.826298 -4.180328 139.165558  27.373230 27.684070
61.804359 -4.697510 139.120377  26.958500 27.373230 27.684070
61.838959 -3.625315 139.144241  26.958500 27.373230 27.684070
79.676033 -8.569480 150.728806  26.544050 26.958500 27.373230 25.818220 26.129230 27.684070
68.041153 -1.848252 137.105606  27.373230 27.684070
62.020115 -2.149536 139.599686  26.544050 26.958500 27.373230 27.684070
80.586624 -14.242112 185.419006  21.355440 21.770100 25.818220 27.684070
80.258278 -14.852260 180.606415  26.544050 26.958500 27.373230 24.056420 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070
80.133125 -11.157283 174.593536  23.537560 26.544050 26.958500 27.373230 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070
71.725792 -2.463371 146.948822  26.544050 26.958500 27.373230 27.684070
82.575806 -7.357259 159.930756  26.544050 26.958500 27.373230 24.056420 25.507250 25.818220 26.129230 27.684070
64.294449 -2.116695 142.287491  27.373230 27.684070
80.863091 -9.237779 160.945999  26.544050 26.958500 27.373230 28.409630 28.722280 25.818220 27.684070
79.236824 -7.339874 150.033096  27.373230 27.684070
62.964962 -6.235628 145.115326  27.373230 27.684070
61.792805 -4.699731 139.186951  26.958500 27.373230 27.684070
77.823380 -4.378579 163.029770  23.537560 28.409630 29.031560 21.355440 21.770100 22.289170 24.056420 25.507250 24.885470 23.017610 27.684070
61.788868 -3.287730 139.042206  26.544050 26.958500 27.373230 27.684070
61.805405 -3.813440 140.213287  27.373230 27.684070
62.320553 -4.409502 142.066757  26.958500 27.684070
64.370415 -7.501036 152.782883  26.544050 26.958500 27.373230 27.684070
68.931313 -3.115844 135.847015  27.373230 27.684070
68.318176 -2.326319 134.598694  27.373230 27.684070
82.501961 -17.681467 203.307953  23.537560 26.544050 26.958500 24.056420 24.471000 25.196320 25.507250 25.818220 26.129230 24.885470 23.017610 27.684070
79.024506 -9.033951 167.417969  26.544050 27.373230 28.722280 27.684070
79.563103 -11.247473 163.742355  23.537560 26.958500 27.373230 24.056420 25.196320 25.818220 26.129230 27.684070
79.546387 -10.847149 165.663055  26.544050 26.958500 27.373230 24.471000 25.507250 24.885470 27.684070
70.442505 -2.224579 150.083282  26.544050 26.958500 27.373230 28.722280 27.684070
67.587044 -2.945233 149.898666  26.544050 26.958500 27.373230 25.196320 25.507250 25.818220 26.129230 27.684070
68.128799 -1.822677 137.327057  26.958500 27.373230 27.684070
81.843430 -4.700924 143.457916  27.373230 27.684070
61.844997 -3.865041 139.141464  26.958500 27.373230 27.684070
67.036598 -3.339865 149.423767  26.544050 26.958500 27.373230 24.471000 25.196320 25.507250 25.818220 27.684070
77.020302 -6.237919 164.841904  26.544050 26.958500 27.373230 27.684070
77.635628 -7.373560 166.218414  23.537560 27.373230 22.289170 24.056420 24.471000 25.196320 25.507250 25.818220 24.885470 23.017610 27.684070
